f,W
50,0.0525
63,0.0813
80,0.126
100,0.191
125,0.282
160,0.398
200,0.55
250,0.692
315,0.832
400,0.912
500,0.933
630,0.891
800,0.871
1000,1
1250,1.585
1600,3.09
2000,6.166
2500,11.482
3150,14.125
4000,12.882
5000,9.12
6300,5.754
8000,3.548
10000,2.188
