h [m],p [Pa],rho [kg/m3],T [K],c [m/s],cbar [m/s],h [%mole],mu [kg/m s],k [W/m K],l [kg/m2 s]
4100,55657.82238,0.756694193,271.9001884,330.743688,338.359168,-0.889572756,0.000018,0.024054539,246.2815923
4200,54545.64314,0.746337583,271.2622468,330.368688,338.169168,-0.962358189,0.000018,0.024004594,242.323483
4300,53433.46389,0.735980972,270.6243052,329.993688,337.979168,-1.035143622,0.000018,0.023954648,238.3653738
4400,52321.28464,0.725624361,269.9863636,329.618688,337.789168,-1.107929055,0.000018,0.023904702,234.4072645
4500,51209.10539,0.71526775,269.348422,329.243688,337.599168,-1.180714488,0.000018,0.023854756,230.4491553
4600,50096.92614,0.704911139,268.7104804,328.868688,337.409168,-1.253499921,0.000018,0.02380481,226.491046
4700,48984.74689,0.694554528,268.0725388,328.493688,337.219168,-1.326285354,0.000018,0.023754864,222.5329368
4800,47872.56764,0.684197917,267.4345971,328.118688,337.029168,-1.399070787,0.000018,0.023704918,218.5748275
4900,46760.38839,0.673841306,266.7966555,327.743688,336.839168,-1.47185622,0.000018,0.023654973,214.6167183
5000,45648.20915,0.663484695,266.1587139,327.368688,336.649168,-1.544641654,0.000018,0.023605027,210.658609
5100,44536.0299,0.653128084,265.5207723,326.993688,336.459168,-1.617427087,0.000018,0.023555081,206.7004997
5200,43423.85065,0.642771474,264.8828307,326.618688,336.269168,-1.69021252,0.000018,0.023505135,202.7423905
5300,42311.6714,0.632414863,264.2448891,326.243688,336.079168,-1.762997953,0.000018,0.023455189,198.7842812
5400,41199.49215,0.622058252,263.6069475,325.868688,335.889168,-1.835783386,0.000018,0.023405243,194.826172
5500,40087.3129,0.611701641,262.9690059,325.493688,335.699168,-1.908568819,0.000018,0.023355297,190.8680627
5600,38975.13365,0.60134503,262.3310643,325.118688,335.509168,-1.981354252,0.000018,0.023305351,186.9099535
5700,37862.9544,0.590988419,261.6931227,324.743688,335.319168,-2.054139685,0.000018,0.023255406,182.9518442
5800,36750.77516,0.580631808,261.0551811,324.368688,335.129168,-2.126925118,0.000018,0.02320546,178.993735
5900,35638.59591,0.570275197,260.4172395,323.993688,334.939168,-2.199710551,0.000018,0.023155514,175.0356257
6000,34526.41666,0.559918586,259.7792979,323.618688,334.749168,-2.272495984,0.000018,0.023105568,171.0775165
