t_source [s],Ne [-],TS [-],Core mdot [kg/s],Core Pt [Pa],Core Tti [K],Core Ttj [K],Core DT_t [K],LPT rho_e [kg/m3],LPT c_e [m/s],HPT rho_i [kg/m3],HPT c_i [m/s],Jet A [m2],Jet rho [kg/m3],Jet Tt [K],Jet V [m/s],Jet M [-],Jet delta [deg],Airframe LG [-],Airframe delta_f [deg],Fan mdot in [kg/s],Fan N [rpm],Fan delta T [K],Fan B [-],Fan V [-],Fan d [m],Fan M_d [-],Fan A [m2],Fan RSS [%],Fan IGV [-],Fan ID [-]
0.0,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
0.5,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
1.0,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
1.5,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
2.0,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
2.5,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
3.0,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
3.5,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
4.0,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
4.5,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
5.0,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
5.5,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
6.0,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
6.5,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
7.0,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
7.5,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
8.0,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
8.5,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
9.0,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
9.5,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
10.0,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
10.5,3.0,0.47496016085156045,21.89726553146804,1242714.1646812686,626.481136214096,1500.843589979516,1195.95055,0.0,0.0,0.0,0.0,0.6193200000000001,0.9230057206716876,425.3648125292807,295.3464137806064,1.0,0.0,1.0,20.0,169.64315254653843,6507.5159637124725,37.79859754598699,25.0,48.0,1.1948000000000003,1.68,0.7032,300.0,0.0,0.0
