
trajectory.sql, 2023-02-25 09:03:09.153260, Converged
trajectory.sql, 2023-02-25 09:06:40.097707, Converged
trajectory.sql, 2023-02-25 10:34:14.163239, Converged
trajectory.sql, 2023-02-25 10:41:08.828356, Converged
trajectory_stca.sql, 2023-02-26 08:54:22.871702, Converged
trajectory_stca.sql, 2023-02-26 08:55:22.263570, Converged
trajectory_stca.sql, 2023-02-26 09:15:45.738312, Converged
trajectory_stca.sql, 2023-02-27 07:32:01.347939, Converged
trajectory_stca.sql, 2023-02-27 08:28:45.383840, Converged
trajectory_stca.sql, 2023-02-27 09:09:11.505656, Converged
trajectory_stca.sql, 2023-02-27 09:27:22.407370, Converged
trajectory_stca.sql, 2023-02-27 09:54:38.038346, Converged
trajectory_stca.sql, 2023-02-28 11:11:31.555891, Converged
trajectory_stca.sql, 2023-02-28 13:45:35.624064, Converged
trajectory_stca.sql, 2023-02-28 17:48:29.918999, Converged
trajectory_stca.sql, 2023-02-28 18:19:59.311032, Converged
trajectory_stca.sql, 2023-03-02 10:19:40.236597, Converged
trajectory_stca.sql, 2023-03-02 15:22:15.147851, Converged
trajectory_stca.sql, 2023-03-19 08:45:13.484593, Converged
trajectory_stca.sql, 2023-03-19 21:06:54.181783, Converged
trajectory_stca.sql, 2023-03-25 12:59:21.397575, Converged
