t source [s],f50,f63,f80,f100,f125,f160,f200,f250,f315,f400,f500,f630,f800,f1000,f1250,f1600,f2000,f2500,f3150,f4000,f5000,f6300,f8000,f10000
57.5,6.48635,7.27785,8.1518,9.00575,9.89725,10.91725,11.84875,12.8012,13.79725,14.75725,15.6112,16.4733,17.32725,18.0933,18.75725,19.22575,19.5918,19.73,19.73,19.73,19.73,19.73,19.73,19.73
58,6.507918323,7.302679193,8.180557764,9.038436336,9.933197205,10.95319721,11.88795807,12.84107578,13.83319721,14.79319721,15.65107578,16.50531864,17.36319721,18.12531864,18.79319721,19.25843634,19.62055777,19.73,19.73,19.73,19.73,19.73,19.73,19.73
58.5,6.529665217,7.329086957,8.209286957,9.071586957,9.966808697,10.9891087,11.92643043,12.8793087,13.8714087,14.8314087,15.6891087,16.5391087,17.3968087,18.1568087,18.8293087,19.29158696,19.64928696,19.73,19.73,19.73,19.73,19.73,19.73,19.73
59,6.551621739,7.357347826,8.237982609,9.105282609,9.997678264,11.02497826,11.96403913,12.91561304,13.91227826,14.87227826,15.72497826,16.57497826,17.42767826,18.18767826,18.86561304,19.32528261,19.67798261,19.73,19.73,19.73,19.73,19.73,19.73,19.73
59.5,6.575578261,7.383842029,8.266811594,9.138044928,10.03101449,11.06101449,12.00101449,12.95398406,13.95224783,14.91101449,15.76101449,16.61101449,17.46101449,18.21978116,18.90398406,19.35804493,19.70187826,19.73,19.73,19.73,19.73,19.73,19.73,19.73
60,6.601882609,7.408262319,8.295797101,9.169711594,10.06724637,11.09724637,12.03724637,12.99478116,13.99116087,14.94724637,15.79724637,16.64724637,17.49724637,18.25333189,18.94478116,19.38971159,19.72013913,19.73,19.73,19.73,19.73,19.73,19.73,19.73
60.5,6.626086957,7.434782608,8.327049275,9.201211594,10.10347826,11.13347826,12.07347826,13.03347826,14.02990724,14.98347826,15.83347826,16.68347826,17.53121159,18.28704928,18.98574492,19.42347826,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
61,6.647826087,7.463768116,8.360962319,9.232515942,10.13971014,11.16971014,12.10971014,13.06971014,14.06845797,15.01971014,15.86971014,16.71971014,17.56251594,18.32096232,19.02690434,19.45971014,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
61.5,6.671965217,7.492886957,8.392775362,9.265186957,10.17507536,11.20610869,12.14840869,13.10610869,14.10610869,15.05610869,15.90380869,16.75380869,17.59518696,18.35277536,19.06266376,19.49610869,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
62,6.698921739,7.522162319,8.422123188,9.299462319,10.20942318,11.2427029,12.1900029,13.1427029,14.1427029,15.0927029,15.9354029,16.7854029,17.62946232,18.38212318,19.09208405,19.5327029,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
62.5,6.723569437,7.549328857,8.451425916,9.333522975,10.24352297,11.27718534,12.22718534,13.1792824,14.1792824,15.1292824,15.9692824,16.81718534,17.66142591,18.41142591,19.12142591,19.5692824,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
63,6.745506777,7.574019821,8.480675703,9.367331585,10.27733159,11.30918875,12.25918875,13.21584463,14.21584463,15.16584463,16.00584463,16.84918875,17.6906757,18.4406757,19.1506757,19.60584463,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
63.5,6.769901471,7.599901471,8.510135294,9.399455882,10.30945589,11.34243529,12.29334853,13.25266912,14.25266912,15.19945589,16.03945589,16.88243529,17.72013529,18.47013529,19.17783529,19.64266912,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
64,6.797180883,7.627180883,8.539841176,9.429602941,10.33960294,11.37714117,12.33003971,13.28980147,14.28980147,15.22960294,16.06960294,16.91714117,17.74984117,18.49984117,19.20254117,19.67980147,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
64.5,6.820727246,7.652120281,8.566707638,9.456707638,10.36810067,11.40810067,12.36268803,13.32408106,14.32408106,15.25810067,16.09810067,16.94670764,17.77810067,18.52670764,19.22670764,19.70990196,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
65,6.83918806,7.6736,8.589552239,9.479552239,10.39396418,11.43396418,12.38991642,13.35396418,14.35396418,15.28396418,16.12396418,16.96955224,17.8036,18.54955224,19.24955224,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
65.5,6.849561194,7.686883582,8.604477612,9.494477612,10.4118,11.4518,12.40939403,13.3718,14.3718,15.3018,16.1418,16.98447762,17.81688358,18.56447762,19.26447762,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
66,6.859709996,7.699709996,8.618850294,9.509019991,10.42902,11.46902,12.42799059,13.3888503,14.3888503,15.3188503,16.1588503,16.9988503,17.82987969,18.57862,19.27862,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
66.5,6.867278969,7.707278969,8.626867028,9.519157937,10.43915794,11.47915794,12.43645508,13.39686703,14.39686703,15.32686703,16.16686703,17.00686703,17.83956988,18.58375794,19.28375794,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
67,6.875235804,7.715235804,8.635235804,9.529326993,10.44932699,11.48970853,12.4452358,13.4052358,14.4052358,15.3352358,16.1752358,17.0152358,17.84932699,18.58932699,19.28932699,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
67.5,6.887653053,7.727653053,8.647653053,9.5398538,10.4598538,11.50500457,12.45765305,13.41765305,14.41765305,15.34765305,16.18765305,17.02765305,17.8598538,18.5998538,19.2998538,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
68,6.900307692,7.740510769,8.660510769,9.55115077,10.47115077,11.52030769,12.47070769,13.43070769,14.43070769,15.36051077,16.20030769,17.04030769,17.87075077,18.61075077,19.31055384,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
68.5,6.915692308,7.758433846,8.678433846,9.571304616,10.49130461,11.5356923,12.4910923,13.4510923,14.4510923,15.37843385,16.2156923,17.0556923,17.88590461,18.62590461,19.32324615,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
69,6.930652308,7.775526154,8.695526154,9.59063326,10.51063326,11.55063326,12.51023326,13.47023326,14.47023326,15.39510711,16.23023326,17.07023326,17.90023326,18.64021421,19.33499282,19.72988571,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
69.5,6.940729231,7.783064615,8.703064615,9.600472088,10.52047209,11.56047209,12.51507209,13.47507209,14.47507209,15.39740747,16.23507209,17.07507209,17.90507209,18.64481494,19.33586462,19.72845714,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
70,6.949746032,7.789746032,8.709492063,9.608634921,10.52838095,11.56838095,12.51838095,13.47838095,14.47812698,15.39838095,16.23812698,17.07812698,17.90838095,18.64777778,19.33171429,19.7228254,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
70.5,6.946571429,7.786571429,8.703142857,9.59752381,10.51409524,11.55409524,12.50409524,13.46409524,14.46066666,15.38409524,16.22066666,17.06066666,17.89409524,18.63190476,19.26980952,19.66885714,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
71,6.942278096,7.781771429,8.694769524,9.584369524,10.49776762,11.53766095,12.48726095,13.44726095,14.44105904,15.36715428,16.20105904,17.04116571,17.87736762,18.61415619,19.20626285,19.61337143,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
71.5,6.925119365,7.758279365,8.66311873,9.54771873,10.45795809,11.4965181,12.4411181,13.4011181,14.39675746,15.31967809,16.15675746,16.99819746,17.83255809,18.57483873,19.12383428,19.54043492,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
72,6.90592,7.732586667,8.629253333,9.508506667,10.41517333,11.45184,12.39184,13.35146667,14.34850667,15.26888,16.10888,16.95184,17.7848,18.53109334,19.03888,19.46554666,19.72626667,19.73,19.73,19.73,19.73,19.73,19.73,19.73
72.5,6.863253333,7.681586667,8.56992,9.43984,10.33817333,11.36650667,12.30650667,13.26146667,14.25484,15.17988,16.01988,16.86650667,17.70313333,18.43642667,18.92488,19.36821333,19.6796,19.73,19.73,19.73,19.73,19.73,19.73,19.73
73,6.818373333,7.62728,8.50672,9.366933334,10.25704,11.27661333,12.21634667,13.16672,14.15632,15.08568,15.92608,16.77634667,17.61701333,18.33522666,18.80746667,19.26778667,19.6272,19.7292,19.73,19.73,19.73,19.73,19.73,19.73
73.5,6.74804,7.534946667,8.399053333,9.245266667,10.12837333,11.13428,12.07068,13.01738667,14.00198667,14.93168,15.77708,16.63068,17.47968,18.15889333,18.6508,19.13178667,19.50886667,19.7192,19.73,19.73,19.73,19.73,19.73,19.73
74,6.674311111,7.439125926,8.287348148,9.11917037,9.994192593,10.9864,11.91841482,12.86122963,13.84082963,14.77082963,15.62122963,16.47862223,17.33522963,17.97742223,18.4892,18.99137778,19.38656296,19.69973333,19.72980741,19.73,19.73,19.73,19.73,19.73
74.5,6.561533333,7.3032,8.1292,8.942133333,9.7966,10.77473333,11.69026667,12.6266,13.6012,14.5312,15.3866,16.25306667,17.10893333,17.73686667,18.27086667,18.80026667,19.2186,19.5714,19.7274,19.73,19.73,19.73,19.73,19.73
75,6.446035898,7.163952991,7.966555556,8.759450427,9.592999145,10.55593846,11.45505556,12.38406496,13.35337265,14.28337265,15.1436265,16.01879488,16.8732265,17.48948718,18.04619231,18.60304359,19.04512649,19.4366,19.71361624,19.72926923,19.73,19.73,19.73,19.73
75.5,6.299262393,6.986513533,7.752203704,8.511840029,9.320303276,10.25516923,11.13862037,12.05061766,13.01127151,13.94127151,14.80469844,15.68428633,16.52929844,17.16363248,17.74859615,18.33553291,18.80828177,19.22743333,19.56900442,19.72013462,19.73,19.73,19.73,19.73
76,6.150029538,6.805794462,7.534016,8.260052924,9.041910154,9.947947076,10.814512,11.7088923,12.66002092,13.58936492,14.45545724,15.33976492,16.17558524,16.8291643,17.44247138,18.05981416,18.56364924,19.010992,19.41522708,19.69727754,19.72744,19.73,19.73,19.73
76.5,5.972514154,6.587359846,7.271716,7.960233693,8.697998615,9.566516307,10.402162,11.27196923,12.20355169,13.12469569,13.98761493,14.88009569,15.70934293,16.39564123,17.03826754,17.68970262,18.22945693,18.710892,19.15604631,19.51661215,19.69544,19.73,19.73,19.73
77,5.793984725,6.367849427,7.007816694,7.657783961,8.351648663,9.181506819,9.985371522,10.82945445,11.74111402,12.65321004,13.51310093,14.41299182,15.23688925,15.95490235,16.6270311,17.31305728,17.88897436,18.40510966,18.89113584,19.32716203,19.64888707,19.72879978,19.73,19.73
77.5,5.604179926,6.133354302,6.721876503,7.319224792,7.966246993,8.742038853,9.499387141,10.30239177,11.18274005,12.07303145,12.92664893,13.82026642,14.6520925,15.39140101,16.0949963,16.82159158,17.43610869,17.99543432,18.52418178,19.00292923,19.39408095,19.64498797,19.71356522,19.72967391
78,5.415276133,5.892762257,6.427422294,6.966995375,7.555155411,8.271530065,8.971103145,9.72809482,10.5606679,11.42214339,12.25803191,13.13392044,13.97183348,14.73507816,15.46980666,16.23753515,16.88980434,17.49581823,18.0728728,18.59992738,19.0438543,19.40062165,19.65878261,19.72858696
78.5,5.230686956,5.658295652,6.137708696,6.619569566,7.147782608,7.799647826,8.438208696,9.141573913,9.920134781,10.74414348,11.5545,12.40695652,13.24550434,14.02640434,14.78794782,15.5936913,16.2833826,16.93517392,17.56181304,18.14055218,18.6368913,19.08623044,19.49556956,19.64985218
79,5.056165217,5.438121739,5.859056522,6.283352174,6.749086956,7.32456087,7.894556522,8.526530435,9.236526086,10.00288261,10.7695,11.58521739,12.41167826,13.19557826,13.97386087,14.81034348,15.53668695,16.23213044,16.91133478,17.54963913,18.09754348,18.60844783,19.07935217,19.38993913
79.5,4.8914,5.228581818,5.593718182,5.961845455,6.364318182,6.862290909,7.361354545,7.918372727,8.554436364,9.254445455,9.965954545,10.73427273,11.53689091,12.31271818,13.0974,13.95529091,14.71299091,15.4475,16.17596364,16.87328182,17.47495455,18.04908182,18.58416364,19.02584545
80,4.7494,5.043854546,5.359445454,5.674663637,6.012045454,6.429927273,6.852536363,7.326281818,7.875890909,8.489263637,9.119136363,9.815181818,10.56652727,11.30844546,12.0754,12.93292727,13.70962727,14.4725,15.24250909,15.99755454,16.65813637,17.29935454,17.90470909,18.41866363
80.5,4.617558139,4.872631079,5.141613107,5.405276956,5.68210148,6.023065539,6.368781184,6.75840592,7.218191332,7.738137421,8.279653277,8.891987315,9.57439112,10.26361311,10.99410465,11.83134461,12.60826322,13.38486047,14.18422727,14.98636363,15.70126956,16.40594503,17.08339006,17.67226532
81,4.509418604,4.732916491,4.962141649,5.177412262,5.404257928,5.675708245,5.943506342,6.247031712,6.609132136,7.019807611,7.457285412,7.959217759,8.531452431,9.124141651,9.774453488,10.54491755,11.2782315,12.03439535,12.83468182,13.65909091,14.41762262,15.17727695,15.93105391,16.60102854
81.5,4.413162791,4.609348837,4.802534884,4.97522093,5.155302326,5.362674419,5.56044186,5.784209302,6.052372093,6.357430232,6.688883721,7.07683721,7.528186047,8.010534884,8.558093023,9.230255814,9.886627905,10.5847093,11.3455,12.153,12.9182093,13.7026279,14.50525581,15.23648837
82,4.344635659,4.523457364,4.68927907,4.832934108,4.973751938,5.129728683,5.275868217,5.434674418,5.617643411,5.825608527,6.046403101,6.312031008,6.617488372,6.95727907,7.349410852,7.849713178,8.351356589,8.903507753,9.5305,10.22966667,10.91534109,11.65402325,12.44137985,13.18757364
82.5,4.287059524,4.45122619,4.594285714,4.714119047,4.822845238,4.935738095,5.03752381,5.14025,5.251869047,5.375047619,5.500666667,5.656345238,5.831535714,6.039,6.283690476,6.61322619,6.953380953,7.343595238,7.806214286,8.349511905,8.898547619,9.517321428,10.20055953,10.86797619
83,4.255035715,4.410869048,4.541904762,4.650071428,4.743440476,4.832642857,4.907047619,4.974416666,5.046988095,5.114095238,5.180666667,5.25527381,5.336654762,5.435666666,5.551547619,5.712869048,5.875761905,6.066690476,6.293595238,6.570107143,6.849261905,7.175059523,7.546869049,7.916785713
83.5,3.597726191,3.725226191,3.829452381,3.914452381,3.984678572,4.046404761,4.093357143,4.129583333,4.168035715,4.191714285,4.213166667,4.228345238,4.241702381,4.261333333,4.283190476,4.320226191,4.353214285,4.396928572,4.449547619,4.525845238,4.602547619,4.705154761,4.835892857,4.973309524
