t_s [s],x [m],y [m],z [m],alpha [deg],gamma [deg],F_n [N],tau [-],v [m/s],M_0 [-],c_0 [m/s],T_0 [K],p_0 [Pa],rho_0 [kg/m3],mu_0 [kg/ms],I_0 [kg/m2s],theta_flaps [deg],I_lg [-],jet_V [m/s],jet_A [m2],jet_rho [kg/m3],jet_Tt [K],jet_M [-],core_mdot [kg/s],core_Pt_i [Pa],core_Tt_i [K],core_Tt_j [K],turb_DTt_des [K],turb_rho_i [kg/m3],turb_c_i [m/s],turb_rho_e [kg/m3],turb_c_e [m/s],fan_DTt [K],fan_mdot [kg/s],fan_N [rpm]
31.25,1691.357516,0,0.03048,12.23178571,0.123750003,61718.91481,0.9,101.0988978,0.292057143,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.7943475,10,1,428.9118512,0.577817949,0.810890555,525.6089232,1,35.84865927,2320607.759,790.0038409,1704.315168,807.3904864,0,0,0,0,70.97807253,190.5972477,8741.494892
31.45,1711.572287,0,0.054864,12.93035712,0.222750005,61688.89567,0.9,101.470774,0.293131429,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.7933151,10,1,429.0290516,0.577786404,0.810901223,525.651953,1,35.84865927,2321299.118,790.0038409,1704.357771,807.3904864,0,0,0,0,70.97807253,190.6535251,8741.42669
31.65,1731.912462,0,0.22098,13.55799998,0.468000006,61665.06593,0.9,101.7532664,0.2939475,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.7862821,10,1,429.1180645,0.577761237,0.810918115,525.6850775,1,35.93729607,2321829.595,790.0038409,1704.435523,807.3904864,0,0,0,0,70.97807253,190.6675944,8741.374851
31.85,1752.294438,0,0.43434,14.16199998,0.762000006,61643.29931,0.9,102.0059642,0.2946775,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.7772489,10,1,429.1976817,0.577738196,0.810937081,525.7149003,1,36.05547846,2322306.445,790.0038409,1704.524992,807.3904864,0,0,0,0,70.97807253,190.6675944,8741.328465
32.05,1772.700798,0,0.718566,14.62449999,1.060000008,61622.42975,0.9,102.2439501,0.295365,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.7652153,10,1,429.2738372,0.577717075,0.810960788,525.7417407,1,36.15396379,2322755.394,790.0336636,1704.599549,807.3904864,0,0,0,0,70.97807253,190.6675944,8741.284784
32.25,1793.18031,0,1.21539,14.6625,1.370000015,61604.25135,0.9,102.4378005,0.295925,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.7441805,10,1,429.3396078,0.577701714,0.81099872,525.7596343,1,36.19335792,2323120.64,790.1529545,1704.629372,807.3904864,0,0,0,0,70.97807253,190.6675944,8741.249219
32.45,1813.659822,0,1.712214,14.7005,1.680000021,61586.07295,0.9,102.6316508,0.296485,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.7231457,10,1,429.4053784,0.577686352,0.811036651,525.777528,1,36.23275205,2323485.887,790.2722454,1704.659194,807.3904864,0,0,0,0,70.97807253,190.6675944,8741.213654
32.65,1834.203342,0,2.394204,14.71,1.945000009,61568.10585,0.9,102.8021353,0.2969775,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.6942713,10,1,429.4581681,0.577673151,0.811089696,525.7976583,1,36.24260058,2323805.478,790.3020681,1704.66665,807.3904864,0,0,0,0,70.97807253,190.6675944,8741.182387
32.85,1854.768198,0,3.137916,14.71,2.194999989,61550.20919,0.9,102.9648311,0.2974475,346.16136,298.2271955,101457.3923,1.1853717,1.84E-05,409.6627837,10,1,429.5066307,0.577660671,0.81114778,525.8185342,1,36.24260058,2324109.85,790.3020681,1704.66665,807.3904864,0,0,0,0,70.97807253,190.6675944,8741.152553
33.05,1875.35058,0,3.934968,14.71,2.436499975,61532.48674,0.9,103.1240197,0.29791,346.158312,298.2219439,101455.6057,1.1853717,1.84E-05,409.6290378,10,1,429.5582326,0.57765083,0.811141853,525.8338767,1,36.24228146,2324370.742,790.2881513,1704.636632,807.3762687,0,0,0,0,70.97682264,190.7053062,8741.046212
33.25,1895.98554,0,4.89204,14.71,2.652499977,61515.28695,0.9,103.2726865,0.29835,346.14612,298.2009374,101448.4593,1.1853717,1.84E-05,409.588517,10,1,429.6192527,0.57764891,0.810943896,525.8326189,1,36.24100497,2324501.195,790.232484,1704.516558,807.3193976,0,0,0,0,70.97182309,190.8561534,8740.710354
33.45,1916.6205,0,5.849112,14.71,2.868499978,61498.08716,0.9,103.4213533,0.29879,346.133928,298.1799308,101441.3128,1.1853717,1.84E-05,409.5479962,10,1,429.6802727,0.57764699,0.810745939,525.8313611,1,36.23972849,2324631.648,790.1768166,1704.396484,807.2625266,0,0,0,0,70.96682353,191.0070006,8740.374496
33.65,1937.294322,0,6.950202,14.71,3.074749979,61481.3322,0.9,103.5545713,0.2991775,346.13088,298.1746792,101340.2919,1.184212097,1.84E-05,409.5013779,10,1,429.7214875,0.577639309,0.809968065,525.839992,1,36.20395778,2322564.546,790.1628998,1704.455919,807.2483089,0,0,0,0,70.96557364,190.8578209,8740.272948
33.85,1957.981098,0,8.099298,14.71,3.277749979,61464.72552,0.9,103.6826398,0.2995475,346.13088,298.1746792,101207.9794,1.182665961,1.84E-05,409.4527271,10,1,429.7561006,0.577629709,0.808996885,525.851919,1,36.15668899,2319764.925,790.1628998,1704.575189,807.2483089,0,0,0,0,70.96557364,190.6086321,8740.249503
34.05,1978.645349,0,9.30636696,14.71,3.479309983,61449.34136,0.9,103.8044748,0.2999001,346.130179,298.1734714,101097.31,1.181377513,1.84E-05,409.4016218,10,1,429.7929581,0.577621308,0.808190897,525.8637731,1,36.11722525,2317478.733,790.1665568,1704.664594,807.245039,0,0,0,0,70.96528618,190.4005896,8740.251512
34.25,1999.242027,0,10.6873548,14.71,3.676549994,61437.62474,0.9,103.9076097,0.3002005,346.1273748,298.1686402,101051.5694,1.180862134,1.84E-05,409.343153,10,1,429.8365491,0.577616508,0.807880483,525.8754085,1,36.10117667,2316732.823,790.181185,1704.664405,807.2319594,0,0,0,0,70.96413635,190.3159857,8740.329878
34.27,2001.301694,0,10.82545358,14.71,3.696273995,61436.45308,0.9,103.9179231,0.30023054,346.1270944,298.168157,101046.9953,1.180810596,1.84E-05,409.3373061,10,1,429.8409082,0.577616028,0.807849442,525.876572,1,36.09957181,2316658.232,790.1826478,1704.664386,807.2306514,0,0,0,0,70.96402136,190.3075253,8740.337715
35.27,2104.9753,0,18.48087134,14.71,4.667515991,61391.39773,0.9,104.3363729,0.30146274,346.1004,298.1221676,100980.6979,1.18021791,1.84E-05,409.013188,10,1,429.995136,0.577610508,0.807425335,525.8838001,1,36.07866938,2316459.571,790.2848378,1704.662551,807.1061443,0,0,0,0,70.95307589,190.1973331,8740.426361
36.27,2209.022663,0,27.86114011,14.71,5.62124199,61338.23722,0.9,104.6418005,0.30237516,346.0661344,298.0631396,100960.7038,1.18021791,1.84E-05,408.6160429,10,1,430.125597,0.57761647,0.807356516,525.8503934,1,36.07509742,2317010.519,790.1653831,1704.586073,806.9463378,0,0,0,0,70.93902723,190.1785027,8740.169365
37.27,2313.180588,0,38.98634011,14.71,6.579999997,61274.47939,0.9,104.8635691,0.30306274,346.0127456,297.9711804,100929.5551,1.18021791,1.83E-05,408.1450203,10,1,430.2236518,0.577656126,0.807001393,525.7888411,1,36.06953199,2317014.715,789.9215991,1704.09718,806.6973766,0,0,0,0,70.91714092,190.1491633,8739.279359
38.27,2417.292697,0,51.85647134,14.71,7.541241991,61200.78723,0.9,104.990428,0.30346274,345.9746944,297.9056478,100852.6331,1.179577809,1.83E-05,407.6001199,10,1,430.2887266,0.57769089,0.806669461,525.7214957,1,36.04600553,2315728.012,789.7478723,1703.7224,806.5199602,0,0,0,0,70.90154417,190.0251378,8738.5848
39.27,2521.260173,0,66.51356573,14.71,8.512483997,61117.21593,0.9,104.9990781,0.3035379,345.91752,297.8071948,100488.2267,1.175704221,1.83E-05,406.9807073,10,0,430.3170977,0.577747301,0.803833312,525.6259984,1,35.92169798,2307436.295,789.4868734,1703.159347,806.2534185,0,0,0,0,70.87811236,189.3698208,8737.190798
40.27,2624.873244,0,82.94228573,14.71,9.502484011,61024.0446,0.9,104.8453819,0.30315032,345.8527744,297.695724,100395.9188,1.17506412,1.83E-05,406.2885287,10,0,430.310021,0.577827683,0.803171447,525.4924904,1,35.89542001,2304852.115,789.1913643,1702.521846,805.9516335,0,0,0,0,70.85158231,189.2312902,8735.297345
41.27,2727.998442,0,101.0744903,14.58083199,10.44044801,60921.01262,0.9,104.5862863,0.30247452,345.7689056,297.5513601,100292.5758,1.174424019,1.83E-05,405.5245789,10,0,430.2748252,0.577939375,0.802216171,525.2971694,1,35.86716761,2301789.434,788.8086555,1701.659276,805.560797,0,0,0,0,70.81722369,189.082351,8732.728852
42.27,2830.727203,0,120.4374467,13.73334198,10.92522401,60809.17053,0.9,104.4932653,0.3022621,345.70416,297.4399365,99924.34912,1.170550431,1.83E-05,404.7091139,10,0,430.2719837,0.578012541,0.799572228,525.1636444,1,35.74217327,2293126.012,788.5132716,1700.835441,805.25914,0,0,0,0,70.79070488,188.4234134,8730.95213
43.27,2933.33424,0,140.4249505,13.187196,11.12130599,60694.73886,0.9,104.5559215,0.3025,345.6394144,297.3285344,99777.68027,1.169270229,1.83E-05,403.8704715,10,0,430.3296543,0.578074914,0.798743635,525.056149,1,35.69639631,2289997.494,788.2179447,1700.384955,804.9575412,0,0,0,0,70.76419119,188.1820892,8729.475363
44.27,3035.941277,0,160.7057025,12.999936,11.22379,60579.77128,0.9,104.6373627,0.30281242,345.55176,297.1777486,99396.70339,1.165396641,1.83E-05,403.0201793,10,0,430.4192688,0.578157742,0.795676077,524.9087438,1,35.56911815,2281564.213,787.8182113,1699.559544,804.5493186,0,0,0,0,70.72830415,187.511112,8727.469561
45.27,3138.624611,0,181.1273025,12.92248399,11.278758,60464.30171,0.9,104.7404245,0.30318758,345.4641056,297.0270001,99291.70844,1.16475654,1.83E-05,402.1643519,10,0,430.5044942,0.57824057,0.794830788,524.7762336,1,35.54056254,2279539.031,787.4185772,1698.697414,804.1411974,0,0,0,0,70.69242602,187.3605742,8725.505397
46.27,3241.380262,0,201.6632512,12.872484,11.31627401,60349.27889,0.9,104.831845,0.30351242,345.3955744,296.9091666,99197.77904,1.164116439,1.83E-05,401.3073462,10,0,430.5484509,0.578304136,0.794405237,524.6495575,1,35.51398546,2277779.341,787.1430731,1698.060396,803.8221869,0,0,0,0,70.66438166,187.2204669,8723.990513
47.27,3344.242691,0,222.26016,12.84124201,11.32875799,60234.19982,0.9,104.9402254,0.3039,345.3117056,296.7649935,98819.69222,1.160242851,1.83E-05,400.4485758,10,0,430.6296481,0.578374978,0.791450445,524.5247511,1,35.38721836,2269492.981,786.9839002,1697.4589,803.4318671,0,0,0,0,70.63006846,186.5999277,8722.129997
48.27,3447.185008,0,242.8722112,12.82,11.32999999,60118.82425,0.9,105.0574961,0.3043,345.2431744,296.6472121,98671.47757,1.158962649,1.83E-05,399.5895422,10,0,430.6994336,0.578431328,0.790608644,524.416623,1,35.34115695,2266496.027,786.7084064,1696.822053,803.1129972,0,0,0,0,70.60203647,186.6457633,8720.66506
49.27,3550.257012,0,263.5262944,12.80124201,11.32751599,60003.07747,0.9,105.1657519,0.30468758,345.1593056,296.5031026,98293.9163,1.155089061,1.83E-05,398.7315711,10,0,430.7847532,0.578508195,0.787667722,524.2731005,1,35.21448018,2258278.24,786.3262281,1696.034569,802.7228497,0,0,0,0,70.56773842,186.0243192,8718.804329
50.27,3653.412688,0,284.16504,12.79,11.30999999,59887.27549,0.9,105.2569706,0.30501242,345.0907744,296.3853731,98145.9893,1.153808859,1.83E-05,397.8747788,10,0,430.8501158,0.578564544,0.786827511,524.1612107,1,35.16846719,2255210.68,786.0140095,1695.583904,802.4041206,0,0,0,0,70.5397188,185.7812507,8717.289197
51.27,3756.698051,0,304.8037856,12.79242001,11.294968,59772.00759,0.9,105.3596659,0.30538758,345.00312,296.2348266,97766.80905,1.149935271,1.83E-05,397.0185818,10,0,430.9131787,0.578637772,0.783810304,524.0097809,1,35.04149646,2246864.6,785.6147602,1694.759443,801.9965461,0,0,0,0,70.50388873,185.1105139,8715.324347
52.27,3860.059517,0,325.46544,12.84764402,11.305032,59659.51107,0.9,105.4406564,0.3057,344.9154656,296.0843175,97662.73523,1.14929517,1.83E-05,396.1650364,10,0,430.9935121,0.578712191,0.783012857,523.8583028,1,35.01309157,2244790.089,785.2156102,1693.898381,801.5890729,0,0,0,0,70.46806758,184.960462,8713.317683
53.27,3963.512423,0,346.1233088,12.78869399,11.28751599,59544.78099,0.9,105.5274433,0.30601242,344.8469344,295.9666712,97569.56358,1.148655069,1.82E-05,395.3122415,10,0,431.0370302,0.578774565,0.782615112,523.7462945,1,34.98663909,2243026.637,784.9036121,1693.262082,801.270569,0,0,0,0,70.44006775,184.8207239,8711.793987
54.27,4067.079677,0,366.7315744,12.76248401,11.24875799,59429.73876,0.9,105.6354014,0.3064,344.7630656,295.8227272,97193.23954,1.144781481,1.82E-05,394.4620504,10,0,431.1176472,0.578844216,0.779697306,523.6025501,1,34.86017424,2234764.087,784.5586099,1692.660899,800.8808693,0,0,0,0,70.40580907,184.1526596,8709.93254
55.27,4170.745942,0,387.3017888,12.76000003,11.20124201,59314.97467,0.9,105.7522813,0.3068,344.6945344,295.7051329,97045.95517,1.143501279,1.82E-05,393.6162036,10,0,431.1826721,0.578892157,0.778863536,523.4904666,1,34.81426846,2231777.817,784.4689866,1692.02477,800.5625062,0,0,0,0,70.37782162,183.9101573,8708.466827
56.27,4274.530343,0,407.8186144,12.76000003,11.15999999,59200.544,0.9,105.8601147,0.30718758,344.6106656,295.5612524,96670.15561,1.139627691,1.82E-05,392.7729322,10,0,431.2415047,0.578960615,0.775949213,523.3466359,1,34.68789392,2223582.836,784.1240027,1691.238191,800.1729787,0,0,0,0,70.34357808,183.2425701,8706.605283
57.27,4378.436663,0,428.2936032,12.76000003,11.12000001,59086.68797,0.9,105.950984,0.30751242,344.5421344,295.4437101,96523.15823,1.138347489,1.82E-05,391.9321665,10,0,431.302121,0.579015772,0.775122681,523.2381463,1,34.64203657,2220527.191,783.8121629,1690.787654,799.8547563,0,0,0,0,70.315603,183.0003236,8705.089478
58.27,4482.461117,0,448.6922944,12.76000003,11.08000001,58973.5181,0.9,106.058698,0.3079,344.4582656,295.2998933,96147.88284,1.134473901,1.82E-05,391.0980605,10,0,431.3608057,0.579084231,0.772201864,523.1164223,1,34.51575235,2212266.567,783.4306169,1690.001289,799.4654011,0,0,0,0,70.2813746,182.3332136,8703.227702
59.27,4586.588368,0,469.0491488,12.76124201,11.03999999,58860.82983,0.9,106.1753533,0.3083,344.3897344,295.1824029,96055.39447,1.1338338,1.82E-05,390.2660853,10,0,431.4212955,0.57913098,0.771801176,523.0078449,1,34.4894133,2210534.711,783.118915,1689.36555,799.1473195,0,0,0,0,70.2534119,182.1940746,8701.761579
60.27,4690.852877,0,489.3526144,12.76875799,10.99999998,58748.56803,0.9,106.2817739,0.30868758,344.30208,295.0321623,95952.31119,1.133193699,1.82E-05,389.4369089,10,0,431.4793638,0.579195799,0.771002387,522.8559941,1,34.46117032,2208606.401,782.7203266,1688.727449,798.740573,0,0,0,0,70.21765463,182.044878,8699.803907
61.27,4795.223968,0,509.6142432,12.76999997,10.96000002,58636.62113,0.9,106.366531,0.30901242,344.2144256,294.8819591,95575.63494,1.129320111,1.82E-05,388.6121645,10,0,431.5373481,0.579266642,0.768006353,522.7040954,1,34.3346286,2200258.502,782.3584581,1687.904334,798.333928,0,0,0,0,70.18190627,181.4227307,8697.804476
62.27,4899.732317,0,529.7995744,12.77124199,10.92,58524.98922,0.9,106.4787379,0.3094,344.1458944,294.764552,95429.27862,1.128039909,1.82E-05,387.7908406,10,0,431.6019124,0.579313391,0.767177658,522.5917323,1,34.28887845,2197270.925,782.2685068,1687.232295,798.0160715,0,0,0,0,70.15396336,181.4611137,8696.329641
63.27,5004.343462,0,549.9430688,12.778758,10.87999998,58413.78372,0.9,106.5904136,0.3098,344.0620256,294.6209006,95055.23708,1.124166321,1.82E-05,386.9718787,10,0,431.6818016,0.579374633,0.764255543,522.4475808,1,34.16280615,2189110.226,781.9238701,1686.446623,797.6271641,0,0,0,0,70.11977433,180.8400717,8694.475475
64.27,5109.107855,0,570.0385511,12.77999998,10.841368,58302.97928,0.9,106.7021937,0.31018632,343.9938784,294.5042029,94963.47661,1.12352622,1.82E-05,386.1579616,10,0,431.7242657,0.579425971,0.763870022,522.3375813,1,34.13659,2187375.721,781.6141543,1685.99998,797.3112283,0,0,0,0,70.09200028,180.701297,8693.009439
64.96,5181.594083,0,583.886942,12.75240002,10.8030347,57989.10441,0.89632,106.7582746,0.310400373,343.9373279,294.4073809,94916.2312,1.12333656,1.82E-05,385.5973371,10,0,431.0109115,0.579441237,0.764217531,521.5500836,1,34.05696789,2180084.864,780.5121388,1682.882101,797.0491023,0,0,0,0,69.85227716,180.3680975,8678.628624
65.96,5286.585458,0,603.4535251,12.02190398,10.31086402,51663.05406,0.8,106.842074,0.3107,343.87536,294.3013023,94478.76088,1.118562089,1.82E-05,384.8052228,10,0,410.9267218,0.578919722,0.777872444,503.212735,1,32.11420064,2003269.891,758.1744553,1614.481368,796.7619158,0,0,0,0,64.15772231,172.4015026,8335.069152
66.96,5391.897223,0,621.6525235,11.078032,9.308960013,45151.9235,0.7004048,106.9262781,0.311,343.8144,294.196968,94429.25026,1.11837243,1.82E-05,384.0697156,10,0,387.3808223,0.578470614,0.795027448,484.691224,1,29.90157201,1825660.162,736.4509349,1549.79568,796.4794513,0,0,0,0,58.27269063,163.5900867,7992.884158
67.96,5497.6301,0,637.7504502,10.62747203,8.024352004,39550.03288,0.6142752,107.0104455,0.3113,343.75344,294.092652,94379.75975,1.11818277,1.82E-05,383.4196822,10,0,364.7296203,0.578179708,0.809600603,469.0501135,1,27.75853234,1671999.78,717.4290242,1494.031953,796.1970368,0,0,0,0,53.13151612,156.3701253,7697.406674
68.96,5603.727615,0,651.8524001,11.38190403,7.099935979,39288.05075,0.611,107.0933117,0.31159632,343.69248,293.9883546,93943.44684,1.113408299,1.81E-05,382.8502468,10,0,363.9015975,0.578205745,0.806482088,468.3528473,1,27.55396714,1658755.961,716.7327879,1491.413741,795.9146724,0,0,0,0,52.91790382,155.4043746,7685.125837
69.96,5710.098328,0,664.4857018,11.96969599,6.44552,39241.88843,0.611,107.1446574,0.3118,343.6326417,293.8859942,93894.73828,1.11321864,1.81E-05,382.3401148,10,0,363.9400659,0.57824344,0.806036126,468.2474728,1,27.54447673,1658087.182,716.4940539,1491.166718,795.6375521,0,0,0,0,52.89947896,155.3508488,7683.977951
70.96,5816.62705,0,676.0477167,12.286688,5.944784009,39199.44387,0.611,107.2031744,0.312,343.5999183,293.8300247,93876.85634,1.11321864,1.81E-05,381.8743725,10,0,363.9766579,0.578264055,0.806233104,468.1898424,1,27.54185373,1657959.159,716.3576,1490.893545,795.4860257,0,0,0,0,52.88940443,155.3360551,7683.432902
71.96,5923.335287,0,686.8127651,12.50852799,5.57257601,39159.69553,0.611,107.253563,0.3122,343.5412017,293.72961,93828.78631,1.11302898,1.81E-05,381.4418996,10,0,364.0137285,0.578301044,0.805666298,468.0864253,1,27.5324557,1657297.85,716.1127892,1490.384041,795.2141731,0,0,0,0,52.8713298,155.2830501,7682.306717
72.96,6030.166565,0,696.938855,12.68815999,5.272575985,39122.30865,0.611,107.3123989,0.3124,343.5096,293.6755732,93409.11018,1.108254509,1.81E-05,381.0350966,10,0,364.0183872,0.578320952,0.802319618,468.0307609,1,27.41183032,1650071.916,715.9810475,1490.109859,795.0678793,0,0,0,0,52.86160317,154.602723,7681.786666
73.96,6137.090405,0,706.6032584,12.81889598,5.041840023,39086.70652,0.611,107.3715728,0.3126,343.47912,293.6234592,93376.55042,1.10806485,1.81E-05,380.6468407,10,0,364.0535192,0.578340153,0.80228205,467.9770691,1,27.40470717,1649683.516,715.8539934,1489.845432,794.926791,0,0,0,0,52.85222265,154.5625484,7681.291657
74.96,6244.104564,0,715.873665,12.91926401,4.861471988,39052.44431,0.611,107.4307345,0.3128,343.44864,293.5713497,93359.97887,1.10806485,1.81E-05,380.2744136,10,0,364.0899032,0.578359001,0.80234935,467.9244546,1,27.40227531,1649574.03,715.7269507,1489.591832,794.7857152,0,0,0,0,52.84284296,154.5488327,7680.796615
75.96,6351.180803,0,724.8663867,12.99926402,4.72110399,39019.22003,0.611,107.489884,0.313,343.41816,293.5192449,93343.4088,1.10806485,1.81E-05,379.9131418,10,0,364.126275,0.578369308,0.802403938,467.8979481,1,27.39984344,1649381.468,715.5999192,1489.599366,794.644652,0,0,0,0,52.83346409,154.535117,7680.30154
76.96,6458.293184,0,733.6146933,13.05967918,4.611217226,38986.76845,0.611,107.5459445,0.31319264,343.3859257,293.4641464,93284.91385,1.107578373,1.81E-05,379.5620955,10,0,364.1582468,0.578389261,0.802037638,467.8422311,1,27.38524336,1648524.128,715.4655889,1489.330543,794.4954836,0,0,0,0,52.82354635,154.4527725,7679.76033
77.35,6499.93402,0,736.9470813,13.07881539,4.58282692,38974.6441,0.611,107.5446481,0.3132105,343.3622058,293.4236052,92995.84046,1.104298563,1.81E-05,379.4287936,10,0,364.1428297,0.578404204,0.799418908,467.7973529,1,27.30226507,1643432.245,715.3667496,1489.124797,794.3857265,0,0,0,0,52.81624895,153.984775,7679.246508
78.35,6607.09184,0,745.4702388,13.11790001,4.527900023,38944.08826,0.611,107.5678661,0.3133105,343.32672,293.3629585,92859.78318,1.10291106,1.81E-05,379.0879236,10,0,364.1666515,0.578426559,0.798318955,467.7147251,1,27.26514064,1641120.697,715.2188928,1488.817014,794.2215375,0,0,0,0,52.80533253,153.7753932,7678.546208
79.35,6714.35096,0,753.9099984,13.14105003,4.461049995,38913.09083,0.611,107.6197664,0.3134895,343.29624,293.3108722,92843.29602,1.10291106,1.81E-05,378.750389,10,0,364.1993762,0.57844576,0.798320113,467.6811055,1,27.26272008,1640995.507,715.0919064,1488.552676,794.0805243,0,0,0,0,52.79595699,153.7617413,7678.031461
80.35,6821.646961,0,762.2342388,13.16894999,4.402099983,38882.49968,0.611,107.6517464,0.3136105,343.26576,293.2587906,92826.81034,1.10291106,1.81E-05,378.4174745,10,0,364.2085754,0.578464961,0.798318955,467.6304671,1,27.26029953,1640816.445,714.9649313,1488.288362,793.9395236,0,0,0,0,52.78658229,153.7480894,7677.462656
81.35,6929.0216,0,770.4638388,13.18999999,4.360000006,38852.13465,0.611,107.7036266,0.3137895,343.23528,293.2067135,92810.32611,1.10291106,1.81E-05,378.0883448,10,0,364.2376749,0.578484162,0.798309084,467.5767458,1,27.25787897,1640691.198,714.8379675,1488.054857,793.7985355,0,0,0,0,52.77720843,153.7344374,7676.947855
82.35,7036.436321,0,778.6051992,13.20894999,4.321050009,38822.15217,0.611,107.7355902,0.3139105,343.2048,293.1546411,92748.31489,1.102369912,1.81E-05,377.7627443,10,0,364.2468577,0.578503364,0.79790521,467.5230213,1,27.2420856,1639707.188,714.7417954,1488.022175,793.6575598,0,0,0,0,52.7678354,153.6453628,7676.379005
83.35,7143.9056,0,786.6855996,13.22000001,4.289999988,38792.3491,0.611,107.7874503,0.3140895,343.17432,293.1025733,92389.34741,1.098298418,1.81E-05,377.4395815,10,0,364.275937,0.578522565,0.794937416,467.4692939,1,27.13905946,1633526.322,714.8463986,1487.788662,793.5165967,0,0,0,0,52.7584632,153.0642953,7675.86413
84.35,7251.411761,0,794.7323196,13.23000001,4.261049995,38762.70986,0.611,107.8193973,0.3142105,343.14384,293.0505102,92327.42014,1.09775727,1.81E-05,377.1183269,10,0,364.2851034,0.578540758,0.794523779,467.4155634,1,27.12327798,1632543.136,714.7501942,1487.52439,793.3756461,0,0,0,0,52.74909183,152.9752878,7675.295088
85.35,7358.97248,0,802.7453592,13.24,4.239999978,38733.32047,0.611,107.8712374,0.3143895,343.11336,292.9984516,92311.01877,1.09775727,1.81E-05,376.7996778,10,0,364.3141627,0.578552375,0.794500671,467.3618299,1,27.12086873,1632418.361,714.6232235,1487.26014,793.2347081,0,0,0,0,52.73972129,152.9616996,7674.780158
86.35,7466.570081,0,810.7038396,13.24895,4.221049972,38703.97779,0.611,107.9031679,0.3145105,343.08288,292.9463977,92294.61885,1.09775727,1.81E-05,376.4832375,10,0,364.3233124,0.578570568,0.794468892,467.3080934,1,27.11845949,1632240.024,714.496264,1486.995914,793.0937825,0,0,0,0,52.73035159,152.9481115,7674.211219
87.35,7574.22224,0,818.6286396,13.25000001,4.208950014,38674.76781,0.611,107.95859,0.3147,343.0524,292.8943484,92278.22039,1.09775727,1.81E-05,376.1681357,10,0,364.3559538,0.578588761,0.794437111,467.2543537,1,27.11605024,1632124.882,714.3693158,1486.731713,792.9528695,0,0,0,0,52.72098271,152.9345233,7673.706028
88.35,7681.90808,0,826.52616,13.25105001,4.190000014,38645.69054,0.611,108.0140006,0.3148895,343.02192,292.8423037,92216.34346,1.097216122,1.81E-05,375.8541185,10,0,364.3885836,0.578600378,0.794021241,467.2006112,1,27.1002753,1631205.204,714.2423789,1486.498282,792.8119689,0,0,0,0,52.71161468,152.8455527,7673.200807
89.35,7789.627601,0,834.4172796,13.25895,4.171050007,38616.6444,0.611,108.0459048,0.3150105,342.99144,292.7902637,91857.82666,1.093144628,1.81E-05,375.5403559,10,0,364.3977071,0.578618571,0.791043185,467.1468655,1,26.99731408,1624974.577,714.1154532,1486.465424,792.671081,0,0,0,0,52.70224747,152.2648514,7672.631796
90.35,7897.404881,0,842.2811196,13.26000001,4.159999995,38587.73097,0.611,108.0976932,0.3151895,342.96096,292.7382283,91796.0336,1.09260348,1.81E-05,375.2276781,10,0,364.4267147,0.578637772,0.790618804,467.0931168,1,26.98155104,1624045.787,713.9885389,1486.231985,792.5302055,0,0,0,0,52.6928811,152.2137215,7672.116746
91.35,8005.23672,0,850.11768,13.26000001,4.149999991,38558.96582,0.611,108.1259802,0.3153,342.93048,292.6861975,91779.71793,1.09260348,1.81E-05,374.9160849,10,0,364.4322209,0.578656973,0.790586026,467.0393651,1,26.9791531,1623858.549,713.8616358,1485.967825,792.3893425,0,0,0,0,52.68351555,152.4843736,7671.5379
92.35,8113.084561,0,857.9478396,13.26000001,4.141050006,38530.33337,0.611,108.1542603,0.3154105,342.9,292.6341714,91763.40372,1.09260348,1.81E-05,374.6055588,10,0,364.4377202,0.578675166,0.7905521,466.9856104,1,26.97675517,1623671.3,713.7347439,1485.703688,792.2484921,0,0,0,0,52.67415085,152.5085892,7670.958907
93.35,8221.00464,0,865.7507196,13.26000001,4.137899993,38501.73205,0.611,108.2060201,0.3155895,342.86952,292.5821498,91747.09095,1.09260348,1.81E-05,374.2967126,10,0,364.4666994,0.578686783,0.790510691,466.9318526,1,26.97435724,1623546.887,713.6078634,1485.439575,792.1076542,0,0,0,0,52.66478696,152.4950329,7670.443759
94.35,8328.940721,0,873.52632,13.26105001,4.121049986,38473.24787,0.611,108.2378845,0.3157105,342.83904,292.5301329,91685.34817,1.092062332,1.81E-05,373.988946,10,0,364.475783,0.578704976,0.790085259,466.8780918,1,26.95860074,1622565.223,713.4809941,1485.175485,791.9668288,0,0,0,0,52.65542392,152.4059562,7669.87464
95.35,8436.931361,0,881.29872,13.26895,4.109999991,38444.79484,0.611,108.2896244,0.3158895,342.80856,292.4781206,91327.28179,1.087990838,1.81E-05,373.681306,10,0,364.5047421,0.578723169,0.787105836,466.8243281,1,26.85570444,1616391.942,713.3541361,1484.942127,791.8260159,0,0,0,0,52.64606171,151.8242491,7669.359457
