,Core mdot [kg/s],Core Pt [Pa],Core Tti [K],Core Ttj [K],Core DT_t [K],Jet A [m2],Jet rho [kg/m3],Jet Tt [K],Jet V [m/s],Jet M [-],Fan mdot in [kg/s],Fan N [rpm],Fan A [m2],Fan d [m],Fan delta T [K]
0,33.53275325055353,2055167.3776820858,748.0207975638709,1790.244466114533,785.4366895312885,0.5442548002238571,0.7752682359319163,541.6304407825322,422.9727924921739,0.9934043995955188,177.39217946299703,8805.44695318156,0.9546001543274512,1.1557,84.42225096572542
1,33.54550918415987,2055992.3910887258,748.078196825475,1790.3141077950033,785.4366895312885,0.5442548002238571,0.7755492482480636,541.6671053757661,423.0115239723447,0.9934726814502401,177.47334293039773,8804.58500357101,0.9546001543274512,1.1557,84.41447946041808
2,33.55786649484101,2056791.6228264084,748.1338023601538,1790.381573172959,785.4366895312885,0.5442548002238571,0.7758214789293313,541.7026242004614,423.04904509376024,0.9935388294970013,177.55197003944212,8803.749989885791,0.9546001543274512,1.1557,84.40695081465158
3,33.570622428447344,2057616.6362330485,748.1912016217578,1790.451214853429,785.4366895312885,0.5442548002238571,0.7761024912454785,541.7392887936953,423.08777657393114,0.9936071113517225,177.63313350684282,8802.888040275242,0.9546001543274512,1.1557,84.39917930934423
4,33.58337836205368,2058441.6496396884,748.2486008833617,1790.5208565338994,785.4366895312885,0.5442548002238571,0.7763835035616258,541.7759533869291,423.126508054102,0.9936753932064438,177.7142969742435,8802.026090664693,0.9546001543274512,1.1557,84.39140780403689
5,33.596134295660015,2059266.6630463284,748.3060001449658,1790.5904982143697,785.4366895312885,0.5442548002238571,0.7766645158777731,541.812617980163,423.16523953427287,0.9937436750611651,177.7954604416442,8801.164141054143,0.9546001543274512,1.1557,84.38363629872953
6,33.60889022926635,2060091.6764529685,748.3633994065698,1790.6601398948399,785.4366895312885,0.5442548002238571,0.7769455281939204,541.8492825733969,423.2039710144437,0.9938119569158863,177.87662390904487,8800.302191443594,0.9546001543274512,1.1557,84.37586479342218
7,33.62164616287268,2060916.6898596084,748.4207986681738,1790.7297815753102,785.4366895312885,0.5442548002238571,0.7772265405100676,541.8859471666308,423.24270249461455,0.9938802387706076,177.95778737644557,8799.440241833046,0.9546001543274512,1.1557,84.36809328811484
8,33.634402096479015,2061741.7032662486,748.4781979297778,1790.7994232557805,785.4366895312885,0.5442548002238571,0.7775075528262149,541.9226117598646,423.28143397478544,0.9939485206253288,178.03895084384627,8798.578292222497,0.9546001543274512,1.1557,84.36032178280749
9,33.64715803008535,2062566.7166728885,748.5355971913817,1790.8690649362507,785.4366895312885,0.5442548002238571,0.7777885651423622,541.9592763530985,423.3201654549563,0.9940168024800501,178.12011431124694,8797.716342611948,0.9546001543274512,1.1557,84.35255027750014
10,33.66031258661689,2063417.511748486,748.5947901799109,1790.9408829192357,785.4366895312885,0.5442548002238571,0.7780783590933891,541.9970867148709,423.3601072938825,0.9940872181427314,178.2038141370039,8796.82745707607,0.9546001543274512,1.1557,84.34453591265193
11,33.673068520223225,2064242.5251551261,748.6521894415149,1791.010524599706,785.4366895312885,0.5442548002238571,0.7783593714095363,542.0337513081048,423.39883877405333,0.9941554999974527,178.2849776044046,8795.96550746552,0.9546001543274512,1.1557,84.33676440734459
12,33.68622307675476,2065093.3202307236,748.711382430044,1791.082342582691,785.4366895312885,0.5442548002238571,0.7786491653605632,542.0715616698773,423.43878061297954,0.994225915660134,178.36867743016154,8795.076621929642,0.9546001543274512,1.1557,84.32875004249638
13,33.69937763328629,2065944.115306321,748.7705754185731,1791.154160565676,785.4366895312885,0.5442548002238571,0.7789389593115901,542.1093720316496,423.47872245190575,0.9942963313228153,178.4523772559185,8794.187736393762,0.9546001543274512,1.1557,84.32073567764817
14,33.71253218981782,2066794.9103819185,748.8297684071023,1791.2259785486608,785.4366895312885,0.5442548002238571,0.7792287532626169,542.1471823934221,423.51866429083196,0.9943667469854965,178.53607708167544,8793.298850857884,0.9546001543274512,1.1557,84.31272131279998
15,33.72568674634935,2067645.7054575162,748.8889613956313,1791.2977965316459,785.4366895312885,0.5442548002238571,0.7795185472136438,542.1849927551946,423.5586061297582,0.9944371626481778,178.61977690743242,8792.409965322006,0.9546001543274512,1.1557,84.30470694795177
16,33.738841302880886,2068496.5005331137,748.9481543841605,1791.3696145146307,785.4366895312885,0.5442548002238571,0.7798083411646707,542.2228031169669,423.59854796868433,0.9945075783108591,178.70347673318938,8791.521079786127,0.9546001543274512,1.1557,84.29669258310356
17,33.751995859412425,2069347.2956087112,749.0073473726897,1791.4414324976158,785.4366895312885,0.5442548002238571,0.7800981351156976,542.2606134787394,423.63848980761054,0.9945779939735404,178.78717655894633,8790.632194250247,0.9546001543274512,1.1557,84.28867821825537
18,33.76515041594396,2070198.0906843087,749.0665403612187,1791.5132504806008,785.4366895312885,0.5442548002238571,0.7803879290667244,542.2984238405118,423.67843164653675,0.9946484096362217,178.87087638470328,8789.743308714369,0.9546001543274512,1.1557,84.28066385340716
19,33.778703595400685,2071074.6674288637,749.127527076673,1791.5872447661004,785.4366895312885,0.5442548002238571,0.7806865046526309,542.3373799708228,423.7195838442183,0.994720959106863,178.9571125688165,8788.82748725316,0.9546001543274512,1.1557,84.2724066290181
20,33.79185815193222,2071925.4625044612,749.186720065202,1791.6590627490855,785.4366895312885,0.5442548002238571,0.7809762986036578,542.3751903325953,423.7595256831445,0.9947913747695444,179.04081239457346,8787.938601717282,0.9546001543274512,1.1557,84.2643922641699
